Paises;Sum of deaths;health expend_2019;health expend_2020
Afghanistan;1971;7.423.410.797;8.028.805.542
Albania;1003;0;0
Algeria;2596;2.505.607.758;2.148.517.914
Andorra;79;3.061.790.527;3.336.917.725
Angola;371;6.937.934.113;5.074.262.238
Anguilla;0;Na;Na
Antigua and Barbuda;4;8.015.438.232;8.303.395.386
Argentina;40766;9.585.234.985;8.637.144.165
Armenia;2503;5.494.743.652;551.543.396
Aruba;46;Na;Na
Australia;908;5.555.374.023;5.901.106.445
Austria;4400;5.262.054.199;5.585.088.379
Azerbaijan;1922;1.917.555.237;1.912.273.102
Bahamas;163;1.921.127.075;1.850.996.216
Bahrain;348;99.647.229;9.787.481.079
Bangladesh;7052;4.766.782.379;5.066.413.116
Barbados;7;1.171.256.226;1.199.712.036
Belarus;1263;3.902.497.253;4.080.947.266
Belgium;17951;4.983.656.738;5.009.455.078
Belize;195;303.533.905;277.990.387
Benin;44;2.717.067.146;3.212.714.767
Bermuda;9;Na;Na
Bhutan;0;1.153.208.084;1.337.031.403
Bolivia;9018;2.391.754.456;2.411.182.251
Bonaire, Saint Eustatius and Saba;3;Na;Na
Bosnia and Herzegovina;3336;5.439.828.491;5.914.064.331
Botswana;37;4.088.959.961;3.627.345.276
Brazil;181402;8.504.328.613;7.007.127.075
British_Virgin_Islands;1;Na;Na
Brunei Darussalam;3;6.746.516.113;6.504.782.105
Bulgaria;5688;6.978.963.623;8.567.045.288
Burkina Faso;71;4.107.073.212;5.417.696.762
Burundi;1;1.658.985.329;1.642.022.514
Cambodia;0;1.152.595.367;1.157.646.408
Cameroon;443;5.618.640.518;5.800.534.439
Canada;13431;5.083.725.586;5.619.416.016
Cape_Verde;110;Na;Na
Cases_on_an_international_conveyance_Japan;7;Na;Na
Cayman_Islands;2;Na;Na
Central African Republic;63;3.423.019.409;4.196.052.933
Chad;102;3.053.188.515;3.480.130.768
Chile;15886;1.369.484.009;1.278.178.833
China;4739;5.396.194.458;5.834.321.899
Colombia;39053;5.225.492.554;4.772.748.108
Comoros;7;7.780.075.073;8.082.440.186
Congo;99;5.890.272.522;8.080.835.724
Costa Rica;1895;9.148.847.046;9.530.825.806
CÙte d'Ivoire;133;7.393.050.385;7.630.815.125
Croatia;2640;1.040.085.693;1.094.532.837
Cuba;137;1.013.101.379;1.186.161.377
Cura√ßao;11;Na;Na
Cyprus;78;2.043.678.589;224.536.084
Czech Republic;9609;1.803.052.734;2.119.848.633
Democratic Republic of the Congo;355;1.985.771.751;2.125.385.666
Denmark;941;6.058.830.078;6.438.393.066
Djibouti;61;6.230.675.125;6.280.937.195
Dominica;0;4.425.115.967;4.266.643.677
Dominican Republic;2361;3.465.079.041;3.540.953.369
Ecuador;13875;4.873.314.514;4.785.300.293
Egypt;6920;1.453.107.605;1.509.065.552
El Salvador;1205;3.641.308.594;3.857.433.777
Equatorial Guinea;85;2.227.387.085;2.366.204.529
Eritrea;0;2.525.788.498;2.398.132.896
Estonia;149;1.598.837.524;1.787.866.577
Eswatini;127;2.592.445.068;2.191.039.124
Ethiopia;1806;2.622.917.175;2.869.671.059
Falkland_Islands_(Malvinas);0;Na;Na
Faroe_Islands;0;Na;Na
Fiji;2;2.283.589.478;1.863.637.695
Finland;453;4.460.109.375;4.726.141.602
France;57911;4.508.341.309;4.768.727.051
French_Polynesia;91;Na;Na
Gabon;63;2.082.883.453;2.289.761.353
Gambia;123;2.283.255.005;1.858.098.984
Georgia;1839;3.085.666.504;3.200.052.185
Germany;21975;5.478.102.539;5.930.332.031
Ghana;327;7.352.350.616;8.497.839.355
Gibraltar;5;Na;Na
Greece;3625;1.569.029.053;1.675.117.065
Greenland;0;Na;Na
Grenada;0;4.876.029.053;4.910.820.618
Guam;118;Na;Na
Guatemala;4423;2.785.489.807;2.891.265.564
Guernsey;13;Na;Na
Guinea;79;4.268.258.286;4.684.191.895
Guinea-Bissau;44;6.100.823.593;6.143.194.199
Guyana;155;3.193.625.794;3.780.621.643
Haiti;234;5.379.244.232;4.541.944.504
Holy_See;0;Na;Na
Honduras;2975;1.840.391.846;2.126.973.114
Hungary;7130;1.053.723.633;1.163.246.826
Iceland;28;5.865.231.445;5.636.935.059
India;143355;6.066.871.643;5.662.868.881
Indonesia;18819;1.205.895.844;1.329.633.331
Iran;52196;4.505.970.154;57.340.448
Iraq;12579;2.395.789.185;2.023.096.771
Ireland;2124;543.099.707;6.092.176.758
Isle_of_Man;25;Na;Na
Israel;2999;3.454.468.018;3.867.404.541
Italy;64520;291.062.793;305.704.248
Jamaica;273;3.430.619.202;3.257.205.505
Japan;2585;4.378.774.902;4.388.095.703
Jersey;32;Na;Na
Jordan;3365;3.148.845.215;2.986.446.228
Kazakhstan;2552;2.700.130.615;3.415.420.837
Kenya;1587;8.606.783.295;8.339.618.683
Kosovo;1198;Na;Na
Kuwait;911;1.643.569.702;1.532.560.181
Kyrgyzstan;1312;6.305.092.621;6.369.342.041
Laos;0;Na;Na
Latvia;349;1.183.115.112;1.313.354.126
Lebanon;1200;7.316.715.698;9.944.899.902
Lesotho;44;1.205.479.584;1.070.990.677
Liberia;83;5.209.077.454;5.670.612.335
Libya;1299;0;0
Liechtenstein;18;Na;Na
Lithuania;825;1.369.979.492;1.522.168.457
Luxembourg;396;622.173.877;6757
Madagascar;258;1.935.046.577;1.794.573.784
Malawi;187;3.001.859.474;329.824.791
Malaysia;415;4.274.628.601;4.186.626.587
Maldives;48;8.515.093.994;8.255.690.308
Mali;194;3.261.206.436;3.545.159.149
Malta;166;2.943.631.348;3.135.405.311
Marshall_Islands;0;Na;Na
Mauritania;222;602.051.506;5.904.924.774
Mauritius;10;6.718.604.736;5.604.064.331
Mexico;113953;5.527.042.236;538.574.585
Moldova;2572;284.306.366;3.066.489.258
Monaco;2;3.055.439.209;3.085.443.604
Mongolia;0;1.828.653.565;1.998.163.147
Montenegro;582;7.323.495.483;866.168.335
Montserrat;1;Na;Na
Morocco;6624;1.772.479.401;187.404.007
Mozambique;142;4.041.281.128;3.428.385.544
Myanmar;2268;6.115.328.217;7.211.206.124
Namibia;160;4.318.178.101;3.795.402.832
Nepal;1698;5.283.312.607;5.831.042.099
Netherlands;10034;5.340.612.793;5.846.154.785
New_Caledonia;0;Na;Na
New Zealand;25;408.159.082;4.201.629.395
Nicaragua;162;1.619.863.434;1.611.998.138
Niger;80;3.121.994.209;3.500.711.823
Nigeria;1197;6.968.148.041;6.976.184.845
The Republic of North Macedonia;2121;42.138.974;4.529.664.002
Northern_Mariana_Islands;2;Na;Na
Norway;387;8.007.355.469;7.704.436.035
Oman;1471;7.282.548.218;8.446.165.772
Pakistan;8832;3.707.548.523;3.602.741.241
Palestine;1079;Na;Na
Panama;3356;1.318.037.598;1.214.548.462
Papua New Guinea;8;6.031.322.479;6.392.642.593
Paraguay;1953;415.888.794;4.056.254.273
Peru;36677;3.665.649.109;3.885.455.627
Philippines;8733;1.422.366.486;1.647.370.758
Poland;22864;1.014.038.208;1.025.984.863
Portugal;5559;2.221.730.957;2.341.640.137
Puerto_Rico;1272;Na;Na
Qatar;240;2.207.654.297;2.188.382.813
Romania;13385;7.385.581.665;8.095.888.062
Russia;46941;653.999.939;7.738.782.959
Rwanda;56;510.831.871;5.749.529.648
Saint Kitts and Nevis;0;1.204.340.942;1.104.942.139
Saint Lucia;4;5.141.644.287;6.077.525.024
Saint Vincent and the Grenadines;0;3.750.258.179;4.016.103.516
San Marino;51;3.951.051.025;3.937.656.006
Sao Tome and Principe;17;1.049.457.245;1.069.239.044
Saudi Arabia;6048;0;0
Senegal;349;6.575.260.925;7.677.999.878
Serbia;2331;6.410.321.655;6.723.267.822
Seychelles;0;7.866.508.789;7.269.081.421
Sierra Leone;75;4.481.790.924;4.320.675.278
Singapore;29;282.601.001;3.536.996.094
Sint_Maarten;26;Na;Na
Slovakia;1175;1.342.074.829;1.393.624.268
Slovenia;1459;2.219.100.586;241.720.874
Solomon Islands;0;1.038.037.033;9.912.821.198
Somalia;121;Na;Na
South Africa;23276;5.504.802.246;4.896.435.852
Republic of Korea;587;2.595.223.389;2.642.414.307
South Sudan;62;2.371.821.594;3.323.439.407
Spain;47624;2.712.509.033;2.900.645.264
Sri Lanka;152;1.420.511.627;1.510.559.998
Sudan;1347;3.598.295.401;2.339.452.934
Suriname;117;592.975.769;4.595.627.747
Sweden;7514;5.652.989.746;6.027.967.285
Switzerland;5378;9.666.980.469;103.097.627
Syria;518;0;0
Taiwan;7;Na;Na
Tajikistan;88;6.176.633.072;6.969.489.288
Thailand;60;294.460.083;3.050.879.211
Timor-Leste;0;7.926.290.131;1.208.697.434
Togo;66;4.942.482.758;5.349.979.782
Trinidad and Tobago;122;107.189.624;1.030.712.402
Tunisia;3894;1.897.496.948;2.216.846.771
Turkey;16199;3.974.091.187;3.952.404.175
Turks_and_Caicos_islands;6;Na;Na
Uganda;221;3.340.487.289;3.390.138.245
Ukraine;15247;2.469.130.249;2.697.290.039
United Arab Emirates;617;1.947.130.737;2.121.446.777
United Kingdom;64170;4.265.201.172;4.926.631.348
United Republic of Tanzania;21;3.956.215.286;3.930.883.408
United States of America;299177;1.066.102.832;1.170.240.918
United_States_Virgin_Islands;23;Na;Na
Uruguay;92;16.770.979;1.429.512.695
Uzbekistan;612;985.874.176;1.205.044.403
Vanuatu;0;101.974.411;1.142.296.219
Venezuela;949;1.132.597.885;1.424.585.877
Vietnam;35;1.736.504.517;166.231.842
Wallis_and_Futuna;0;Na;Na
Western_Sahara;1;Na;Na
Yemen;606;0;0
Zambia;367;674.577.713;5.375.365.829
Zimbabwe;307;5.480.850.601;5.067.650.986